"Calendar Year","Quarter","Quarter Month from","Quarter Month to","County code","County","Permit Date","Permits: Incorporated Cities","Permits: Outside Incorporated Cities","Permits: Allocated Countywide","Total Permits","Taxable Transactions: Incorporated Cities","Taxable Transactions: Outside Incorporated Cities","Taxable Transactions: Unallocated","Total Taxable Transactions","Yearly Percentage Change (%)","Per Capita"
"2014","Q1","1","3","50","Stanislaus","1/1/2014","7516","2225","","9741","1252917728","379093454","181214710","1813225892","2.4","3433.11"
"2014","Q1","1","3","51","Sutter","1/1/2014","1491","416","","1907","233972371","53074281","32796158","319842810","-2.37","3340.77"
"2014","Q1","1","3","52","Tehama","1/1/2014","875","857","","1732","132468175","29848530","17624984","179941689","-4.25","2802.43"
"2014","Q1","1","3","53","Trinity","1/1/2014","","614","","614","","14245854","3142867","17388721","2.68","1276.42"
"2014","Q1","1","3","54","Tulare","1/1/2014","6033","2272","","8305","1068797232","172541014","151587977","1392926223","4.67","3035.84"
"2014","Q1","1","3","55","Tuolumne","1/1/2014","605","1300","","1905","54087953","63432400","16678677","134199030","-0.91","2478.28"
"2014","Q1","1","3","56","Ventura","1/1/2014","20353","1880","","22233","2664157149","106855907","308655653","3079668709","3.14","3655.89"
"2014","Q1","1","3","57","Yolo","1/1/2014","3540","530","","4070","651576435","67529716","116348292","835454443","0.57","4011.86"
"2014","Q1","1","3","58","Yuba","1/1/2014","407","819","","1226","45136254","51412777","19983951","116532982","3.9","1581.39"
"2014","Q1","1","3","59","Statewide","1/1/2014","","","","6041","","","78586210","78586210","3.25",""
"2014","Q1","1","3","6","Colusa","1/1/2014","327","235","","562","30678642","30232141","8843726","69754509","-19.24","3202.24"
"2014","Q1","1","3","7","Contra Costa","1/1/2014","18614","2644","","21258","2726617655","221827670","457894522","3406339847","2.94","3127.32"
"2014","Q1","1","3","8","Del Norte","1/1/2014","249","277","","526","23535460","16562073","10355283","50452816","-4.95","1798.61"
"2014","Q1","1","3","9","El Dorado","1/1/2014","1561","4311","","5872","147601270","217684276","67686678","432972224","2.75","2362.26"
