"K","mean","median","p05","p10","p25","p75","p90","p95","sd","mean_fy25","median_fy25","p05_fy25","p10_fy25","p25_fy25","p75_fy25","p90_fy25","p95_fy25"
1050,1.36175795451575,1.34030956160872,1.11664110235122,1.1575490480973,1.23448780039823,1.47066812210935,1.60008117526669,1.67424422215074,0.171242525200568,1.81813089062373,1.78949438766138,1.49086676908514,1.54548440475694,1.64820803620737,1.9635406819514,2.13632459616687,2.23534228579044
1100,1.32076931512042,1.29893264040766,1.08090086766243,1.12024178899069,1.19504863637134,1.4276239912063,1.55603247277206,1.632313925281,0.169110842155726,1.76340551802565,1.73425060638212,1.44314872601416,1.49567417232811,1.5955514226147,1.90607095042139,2.07751362580918,2.17935967321301
1150,1.28204230170616,1.25997696829952,1.0465275702239,1.08457608463114,1.15836097086022,1.38636232562226,1.51293675817555,1.58933926600108,0.166572038867153,1.71169972173742,1.68223951983774,1.39725572889353,1.44805563731833,1.54656843136473,1.85098105096594,2.01997502307763,2.12198269568793
1200,1.24592448319268,1.22338070292101,1.01621367081572,1.05347560784532,1.12437475551069,1.34740358529923,1.47339287688054,1.54863927991917,0.163565865529581,1.66347755323563,1.63337856011615,1.35678257671072,1.40653229804213,1.5011922411413,1.79896586794006,1.96717859778105,2.06764271427046
1250,1.21338837294959,1.18977260082759,0.987169731289145,1.02384281531245,1.0933013577902,1.31359795763838,1.43945027968591,1.51673149943945,0.162345982399297,1.62003744928946,1.58850720218602,1.31800499258605,1.36696851557933,1.45970505607665,1.75383078668475,1.92186064368876,2.0250415154678
1300,1.1824972511172,1.15975917666827,0.960000074064543,0.996032180012566,1.0645611681738,1.28053792847032,1.40382926112714,1.47890944561712,0.159220487988564,1.57879362716729,1.54843522506521,1.2817298286159,1.32983755926002,1.42133301912934,1.70969118017389,1.87430177026164,1.97454396252664
1350,1.15306738846658,1.13025154054937,0.936051230439936,0.970002496736147,1.03752950841281,1.24868874561841,1.3719247927651,1.4455225200246,0.156899856730656,1.53950078352024,1.50903854332808,1.24975488604683,1.29508441456123,1.38524210042143,1.66716821712296,1.83170499358367,1.92996790511393
1400,1.1249632725637,1.10113806133906,0.912017778129435,0.945116268781237,1.01035897068124,1.21843408674046,1.34109582995144,1.41793502999308,0.155428936472498,1.5019779909364,1.47016811432837,1.21766697944849,1.26185793723765,1.34896576085549,1.62677415905347,1.79054416215138,1.89313487788266
1450,1.09934535414161,1.07534429705631,0.889441982116454,0.922024297205242,0.986593952662884,1.1919916002284,1.31326516312545,1.38757203735901,0.153056028446303,1.46777460796204,1.43572995336707,1.18752524098791,1.231027034647,1.31723625031207,1.5914698662509,1.75338646103777,1.85259617960906
1500,1.07382427773295,1.04969506487862,0.8684593600063,0.900508544837615,0.96267449585783,1.16450120446912,1.28477888644736,1.3585115833187,0.150745707795161,1.43370052216237,1.4014847622974,1.15951060498138,1.20230059770211,1.28530054311829,1.55476647299391,1.71535343217567,1.81379654637686
1550,1.05127732218622,1.02717442550805,0.849422406613245,0.880342102802549,0.94153964958007,1.13956974528103,1.25965562864054,1.33362955853513,0.149264114299404,1.4035972896216,1.37141666540805,1.13409369964039,1.17537567239043,1.25708266727717,1.5214796058617,1.68181048796872,1.78057568085501
1600,1.02908304673985,1.00462038418566,0.829987364768006,0.860993598051621,0.92114543597141,1.11529010804451,1.23615816583312,1.30828765906245,0.147203906639227,1.37396493267428,1.34130397239923,1.10814529241999,1.14954280388514,1.2298536361348,1.48906300911889,1.650438199788,1.74674082047798
1650,1.00906898715592,0.984186075130171,0.812837163048462,0.84272004125941,0.901623223614916,1.09472740908662,1.21498760782907,1.28720445860061,0.146067685855658,1.34724345852709,1.31402140841704,1.08524745552957,1.12514513616797,1.20378884450208,1.46160902726699,1.62217264396639,1.71859189878027
1700,0.988027906051165,0.963197852720978,0.795766806809461,0.825228384295115,0.882780937990599,1.07142967338811,1.18827179699898,1.26360924742034,0.144019111570415,1.31915077186291,1.2859992952545,1.06245622314561,1.10179141038321,1.1786318469388,1.43050340176683,1.58650342626351,1.68708910331256
1750,0.969839160633703,0.945259167571436,0.779256698199405,0.808057708421149,0.865337946239623,1.05223734575123,1.16957627087687,1.24309942305806,0.142781197740606,1.29486633879202,1.26204872643321,1.04041299705542,1.07886623772986,1.1553430957902,1.4048790508138,1.56154237246804,1.65970571619103
1800,0.951437467188862,0.926068732876137,0.764659694701849,0.79265575766467,0.848125361004656,1.0329535285754,1.14965340425729,1.22223242243494,0.140995639131719,1.27029759132783,1.23642690281301,1.02092402481814,1.05830255212526,1.13236196847649,1.37913254896283,1.53494265325162,1.63184545049421
1850,0.934234747134729,0.909639871591202,0.749450486096115,0.777821961238576,0.832787955294548,1.01399233563301,1.12903045913573,1.20106731973698,0.13890949402186,1.24732963536367,1.21449215288123,1.00061767603103,1.03849742932934,1.1118844592311,1.35381679406137,1.50740823462987,1.60358717824343
1900,0.918950882753155,0.894057729266549,0.73598392928971,0.763458114429037,0.816788396278412,0.997927850455843,1.11389026956991,1.18645151049523,0.13885123922704,1.22692361102719,1.19368788718291,0.982638002889505,1.01931975277823,1.09052288584199,1.33236853547348,1.48719403558793,1.58407309779633
1950,0.902134650996234,0.877205502089855,0.722540480583282,0.749755298305543,0.80230989827689,0.97827871650297,1.09336752979343,1.16716332481428,0.136589569669642,1.20447166916794,1.17118788657402,0.964689182184166,1.00102464152145,1.07119213445617,1.30613428635802,1.45979340464312,1.55832076340069
2000,0.887245416839745,0.862092223512516,0.709328089053572,0.736521696804997,0.788651909935823,0.963273504030978,1.07675660328068,1.14768365009545,0.135276352468461,1.18459252951036,1.15100961733833,0.947048854033688,0.983355995193699,1.05295687434675,1.2861002999765,1.4376155730288,1.53231276526257
